,words,freq
1,ghana,380
2,will,271
3,education,253
4,cost,221
5,school,219
6,now,211
7,take,207
8,new,202
9,knowledge,194
10,get,185
11,advantage,179
12,rich,178
13,footballers,178
14,country,177
15,future,176
16,today,173
17,alone,170
18,talent,169
19,privileged,168
20,leadership,165
21,invest,158
22,youth,157
23,educated,156
24,excuses,151
25,encourages,147
26,quality,146
27,parents,143
28,watch,142
29,chosen,136
30,people,133
31,look,132
32,choices,130
33,children,126
34,want,118
35,opportunity,113
36,young,110
37,providing,109
38,alternative,109
39,workforce,109
40,cheaper,108
41,uneducated,108
42,unskilled,108
43,hope,105
44,kids,104
45,make,104
46,teacher,101
47,ndc,100
48,ghanaian,96
49,confident,96
50,essential,96
51,welltrained,96
52,contented,93
53,delivery,93
54,adults,88
55,selfconfident,88
56,good,88
57,mature,87
58,pride,87
59,upon,87
60,president,86
61,policy,86
62,doors,84
63,throw,83
64,open,82
65,africa,82
66,launching,79
67,tell,77
68,focus,76
69,reported,75
70,top,75
71,nana,71
72,proud,69
73,God,69
74,npp,68
75,can,61
76,daily,61
77,schools,60
78,heard,60
79,just,59
80,starting,59
81,day,58
82,graphic,58
83,said,58
84,happy,57
85,come,55
86,still,54
87,private,54
88,thank,52
89,stay,49
90,cant,49
91,friend,48
92,launch,47
93,key,46
94,words,45
95,bless,45
96,son,45
97,time,44
98,must,43
99,government,43
100,ampa,43
101,prevent,43
102,happening,42
103,lets,41
104,minister,41
105,humiliation,41
106,secondary,40
107,kbljinswwg,40
108,made,39
109,addo,38
110,grandfather,38
111,illavu,38
112,headmaster,38
113,describe,37
114,well,36
115,thing,35
116,going,35
117,resign,35
118,tenase,35
119,woabaa,35
120,akuffo,35
121,like,34
122,freedom,33
